Nr;Gebiet;gehört;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;FDP;DIE LINKE;GRÜNE;CSU;PIRATEN;NPD;Tierschutzpartei;REP;ÖDP;FAMILIE;Bündnis 21/RRP;RENTNER;BP;PBC;BüSo;DIE VIOLETTEN;MLPD;Volksabstimmung;PSG;AfD;BIG;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;Die PARTEI;B;BGD;DKP;NEIN!;Übrige
138;Hagen - Ennepe-Ruhr-Kreis I;5;212903;147183;2595;144588;51328;53380;6604;9820;9806;;3262;1611;;310;159;;189;;;;20;;96;305;33;6374;142;744;29;;373;182;113;566;;;;;
139;Ennepe-Ruhr-Kreis II;5;181174;134749;1897;132852;44028;50946;5977;8498;12071;;2951;1241;;152;187;;64;;;;19;;156;222;37;5178;143;323;44;;197;153;75;487;;;;;
140;Bochum I;5;210904;154030;2865;151165;46448;58766;5862;12022;14667;;3903;1916;;170;237;;69;;;;36;;145;245;36;5820;196;374;48;;286;187;71;678;;;;;
141;Herne - Bochum II;5;184009;126927;2397;124530;35149;54876;3528;10162;8275;;3078;2225;;439;156;;89;;;;24;;198;267;40;4949;224;463;54;;217;152;88;480;;;;;
142;Dortmund I;5;213946;149031;1562;147469;42712;56180;6107;11653;15827;;4078;1894;;157;172;;136;;;;27;;154;304;32;6060;158;243;125;;437;161;137;731;;;;;
143;Dortmund II;5;206701;137503;1850;135653;39604;55683;5139;10568;11328;;3322;1894;;160;125;;81;;;;21;;71;297;33;5571;241;311;50;;609;129;122;643;;;;;
144;Unna I;5;200068;148119;1843;146276;46794;60019;5850;9127;11567;;3189;1505;;139;125;;83;;;;40;;55;309;31;5525;172;362;29;;882;141;114;557;;;;;
145;Hamm - Unna II;5;238091;167338;2426;164912;60984;63646;6153;10399;9990;;3465;2064;;281;123;;76;;;;21;;66;298;33;5523;236;457;92;;683;129;118;555;;;;;
146;Soest;5;232311;167911;2435;165476;74380;50439;8218;8721;11565;;3410;1321;;180;204;;86;;;;32;;25;333;52;5711;91;330;59;;229;192;101;467;;;;;
147;Hochsauerlandkreis;5;205948;151727;2123;149604;74530;42054;7625;7055;7161;;2940;1269;;160;173;;85;;;;20;;22;319;39;5140;43;278;22;;533;131;88;359;;;;;
148;Siegen-Wittgenstein;5;215751;156569;1812;154757;64307;49563;7327;8920;9937;;2722;1759;;269;286;;55;;;;22;;41;312;35;7653;406;312;30;;243;146;101;450;;;;;
149;Olpe - Märkischer Kreis I;5;210836;150469;1632;148837;71437;42002;7694;7113;7726;;2708;1574;;188;193;;84;;;;27;;22;312;44;6151;117;275;20;;505;134;101;488;;;;;
150;Märkischer Kreis II;5;206189;145197;1695;143502;59536;46318;6431;8463;7971;;3284;1620;;284;145;;119;;;;18;;47;363;31;7122;147;317;27;;389;194;109;625;;;;;
905;Nordrhein-Westfalen;99;13253554;9605247;132654;9472593;3776563;3028282;498027;582925;760642;;209507;94291;;13848;12978;;5151;;;;1975;;4600;17622;2155;372258;10705;23243;2245;;25127;11349;6888;37776;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;Waldeck;6;189728;138632;4931;133701;49063;48420;6452;7356;10872;;2242;1159;;237;;;;;;;47;;33;;71;6774;;152;;;1013;;;525;;;;;
168;Kassel;6;224555;160695;5232;155463;48361;53232;6259;13680;19884;;3575;1218;;198;;;;;;;51;;165;;89;7977;;155;;;839;;;796;;;;;
169;Werra-Meißner - Hersfeld-Rotenburg;6;180203;131446;4632;126814;45872;46913;5014;7584;8868;;1954;2013;;170;;;;;;;55;;41;;55;7096;;136;;;961;;;521;;;;;
170;Schwalm-Eder;6;191354;141665;4836;136829;48747;50052;6362;7442;10498;;2306;1532;;229;;;;;;;46;;32;;58;7394;;162;;;1592;;;529;;;;;
171;Marburg;6;184686;130945;2943;128002;46993;42749;5111;8720;13443;;2206;1034;;313;;;;;;;47;;26;;62;5858;;109;;;593;;;645;;;;;
172;Lahn-Dill;6;210867;146943;4108;142835;59760;43406;6323;7433;10600;;2533;2253;;288;;;;;;;63;;37;;63;8315;;213;;;1250;;;566;;;;;
173;Gießen;6;215246;156652;4350;152302;59062;45299;7553;9928;14759;;3268;1977;;273;;;;;;;93;;59;;84;7444;;183;;;1982;;;759;;;;;
174;Fulda;6;209960;154025;4429;149596;76778;33218;7313;6900;10058;;2715;2190;;414;;;;;;;64;;25;;71;8711;;162;;;1033;;;578;;;;;
175;Main-Kinzig - Wetterau II - Schotten;6;180491;131010;4237;126773;52305;35313;6516;6934;9720;;2666;2662;;487;;;;;;;72;;25;;74;8098;;187;;;1325;;;630;;;;;
176;Hochtaunus;6;182026;139886;2911;136975;58822;33846;10334;6358;12690;;2266;1024;;469;;;;;;;51;;18;;38;9447;;134;;;876;;;510;;;;;
177;Wetterau I;6;175085;131480;3710;127770;52419;34937;7586;6615;11991;;2535;1860;;194;;;;;;;110;;23;;57;7608;;170;;;1440;;;604;;;;;
178;Rheingau-Taunus - Limburg;6;220668;165788;3756;162032;73599;40718;10139;7290;13955;;2884;1476;;302;;;;;;;57;;42;;67;9469;;189;;;1126;;;611;;;;;
179;Wiesbaden;6;189698;132335;2705;129630;50187;36041;8801;7668;15133;;2531;865;;352;;;;;;;151;;52;;38;6550;;124;;;665;;;525;;;;;
180;Hanau;6;177413;128280;4179;124101;48828;35650;6611;7630;11183;;2549;1899;;687;;;;;;;73;;28;;65;7356;;212;;;847;;;876;;;;;
181;Main-Taunus;6;196605;155145;4078;151067;66598;34156;13100;6406;15057;;2773;1003;;285;;;;;;;53;;35;;63;10470;;159;;;1212;;;549;;;;;
182;Frankfurt am Main I;6;195615;133575;3056;130519;43883;35106;9209;11684;17398;;3117;949;;450;;;;;;;85;;56;;62;6983;;133;;;904;;;869;;;;;
183;Frankfurt am Main II;6;219357;159914;2937;156977;53198;41360;10979;12778;24165;;3426;930;;235;;;;;;;87;;54;;69;7669;;125;;;932;;;1006;;;;;
184;Groß-Gerau;6;174002;127383;4079;123304;45389;37781;5762;7693;13129;;2989;1430;;509;;;;;;;52;;76;;61;6939;;200;;;1036;;;643;;;;;
185;Offenbach;6;221650;158240;4637;153603;59905;40203;9836;10205;16503;;3627;1663;;626;;;;;;;49;;40;;75;8994;;224;;;1461;;;839;;;;;
186;Darmstadt;6;240017;180790;4193;176597;61677;50416;8945;11866;25149;;5508;1354;;303;;;;;;;62;;96;;77;9169;;154;;;933;;;991;;;;;
187;Odenwald;6;234360;177273;6023;171250;70211;48252;8964;9459;15560;;4034;2035;;764;;;;;;;101;;76;;83;9864;;289;;;1307;;;833;;;;;
188;Bergstraße;6;199685;148381;3252;145129;61337;39838;7975;7025;12520;;2951;1589;;617;;;;;;;67;;32;;62;8134;;182;;;1602;;;628;;;;;
906;Hessen;99;4413271;3230483;89214;3141269;1232994;906906;175144;188654;313135;;64655;34115;;8402;;;;;;;1536;;1071;;1444;176319;;3754;;;24929;;;15033;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;Neuwied;7;240333;173536;3247;170289;78005;48866;8023;8965;10661;;3249;1610;;262;322;;;;;;;;68;;;8759;;355;;;1657;;354;;;;;;
199;Ahrweiler;7;195077;142594;3103;139491;68680;34660;7897;6569;9287;;2920;1067;;212;555;;;;;;;;34;;;7328;;261;;;929;;261;;;;;;
200;Koblenz;7;198113;142888;3193;139695;63427;38221;7595;7358;10853;;3073;938;;176;324;;;;;;;;29;;;6625;;282;;;1714;;248;;;;;;
201;Mosel/Rhein-Hunsrück;7;175441;129262;3111;126151;62703;31202;7948;6139;7257;;2352;1057;;160;477;;;;;;;;36;;;5323;;282;;;1698;;318;;;;;;
202;Kreuznach;7;187473;132299;3409;128890;53335;40708;7236;7485;8221;;2394;1434;;210;253;;;;;;;;32;;;6180;;288;;;1745;;283;;;;;;
203;Bitburg;7;166313;119298;2706;116592;61192;26189;7136;5134;7165;;2159;904;;135;305;;;;;;;;33;;;4264;;176;;;1925;;550;;;;;;
204;Trier;7;193803;141134;3321;137813;60909;36410;6841;8688;13157;;3508;1043;;136;290;;;;;;;;76;;;5736;;173;;;1289;;268;;;;;;
205;Montabaur;7;211010;155100;3327;151773;69119;42500;7994;7724;9646;;3104;1705;;279;291;;;;;;;;77;;;7831;;300;;;1945;;316;;;;;;
206;Mainz;7;256317;196076;3583;192493;74392;51614;12688;10652;25339;;4799;1060;;561;1314;;;;;;;;72;;;8815;;339;;;1422;;486;;;;;;
207;Worms;7;201931;148928;2953;145975;57620;43670;8657;7398;12267;;3138;2116;;544;497;;;;;;;;41;;;8188;;269;;;1595;;358;;;;;;
208;Ludwigshafen/Frankenthal;7;217129;155005;3243;151762;59425;45001;7952;8538;11042;;3878;2177;;1801;283;;;;;;;;148;;;9224;;348;;;2162;;441;;;;;;
209;Neustadt - Speyer;7;220643;165435;3865;161570;71072;41982;9337;7871;13915;;3660;1778;;943;427;;;;;;;;45;;;7995;;332;;;2835;;611;;;;;;
210;Kaiserslautern;7;232164;163010;4024;158986;57376;52242;7315;12107;11430;;4278;3080;;580;323;;;;;;;;55;;;7101;;415;;;3031;;535;;;;;;
211;Pirmasens;7;180540;128753;4085;124668;54877;35108;6344;8172;5960;;3061;2178;;1313;267;;;;;;;;42;;;5461;;282;;;2046;;483;;;;;;
212;Südpfalz;7;216137;158661;3545;155116;66523;40537;9677;7538;13172;;4091;1833;;1233;660;;;;;;;;71;;;7584;;349;;;2166;;410;;;;;;
907;Rheinland-Pfalz;99;3092424;2251979;50715;2201264;958655;608910;122640;120338;169372;;49664;23980;;8545;6588;;;;;;;;859;;;106414;;4451;;;28159;;5922;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;8;191191;152546;1298;151248;56794;31766;12548;9432;26534;;4338;506;860;224;528;;;258;;170;79;;103;141;;6281;136;66;;;645;;91;;;;;;
259;Stuttgart II;8;183064;134355;1520;132835;52323;30469;8920;8902;18341;;3460;799;846;479;382;;;367;;135;44;;219;153;;6047;255;84;;;732;;84;;;;;;
260;Böblingen;8;247128;191149;2400;188749;88734;37808;13516;8234;19613;;4133;1743;1331;566;533;;;331;;613;85;;163;456;;9666;184;161;;;1291;;116;;;;;;
261;Esslingen;8;166975;129700;1275;128425;57598;28205;7859;5862;15483;;2871;880;1110;873;302;;;245;;165;18;;111;152;;5835;143;88;;;647;;89;;;;;;
262;Nürtingen;8;205756;160053;1680;158373;72844;31499;10880;6533;18435;;3602;1181;1233;1744;476;;;387;;370;10;;59;320;;7599;112;128;;;915;;99;;;;;;
263;Göppingen;8;179130;132632;1921;130711;60058;28435;7646;5569;13275;;2629;1599;1000;552;403;;;289;;240;17;;67;198;;8259;129;93;;;530;;115;;;;;;
264;Waiblingen;8;221739;171509;2110;169399;77461;34086;13327;7663;17511;;3583;1783;1359;665;577;;;640;;625;16;;116;399;;9160;102;104;;;564;;118;;;;;;
265;Ludwigsburg;8;209968;162815;2254;160561;70982;34338;11140;7594;18842;;3567;1359;1102;563;557;;;507;;334;21;;120;202;;8247;138;142;;;1380;;136;;;;;;
266;Neckar-Zaber;8;226751;177134;2854;174280;79372;36849;11799;7271;18551;;3810;1921;1350;738;705;;;645;;474;79;;86;299;;9703;186;190;;;1051;;179;;;;;;
267;Heilbronn;8;241656;173772;2885;170887;78544;37933;10927;8138;14662;;3789;2672;1250;715;731;;;544;;432;28;;126;308;;9271;322;261;;;771;;166;;;;;;
268;Schwäbisch Hall - Hohenlohe;8;224384;158389;2624;155765;72835;31230;10355;7535;15641;;3371;2119;1143;597;1188;;;442;;574;23;;81;278;;7799;94;146;;;608;;174;;;;;;
269;Backnang - Schwäbisch Gmünd;8;175434;130255;2468;127787;62236;26198;7420;5454;11657;;2761;1587;1011;547;424;;;402;;514;29;;76;245;;7268;55;122;;;433;;169;;;;;;
270;Aalen - Heidenheim;8;222959;162969;2859;160110;79409;35861;7267;7483;13532;;3118;2166;1010;983;655;;;450;;324;16;;49;282;;7255;96;161;;;692;;124;;;;;;
271;Karlsruhe-Stadt;8;205735;150050;1939;148111;55791;33785;8978;8933;22263;;6009;853;1111;352;423;;;250;;205;34;;93;185;;8334;77;90;;;724;;116;;;;;;
272;Karlsruhe-Land;8;209733;159992;2737;157255;73805;33416;9553;6461;15175;;3761;1301;1278;730;346;;;386;;491;16;;41;258;;9473;62;196;;;1205;;151;;;;;;
273;Rastatt;8;207555;148159;2513;145646;71752;30043;8436;6055;13223;;2906;1409;1076;376;280;;;380;;174;12;;54;329;;8397;46;121;;;751;;137;;;;;;
274;Heidelberg;8;215943;168177;1858;166319;62331;38915;11626;9413;24601;;4581;1136;1187;268;405;;;289;;145;10;;44;188;;10219;85;76;;;766;;121;;;;;;
275;Mannheim;8;198525;137796;2629;135167;47598;37367;7427;10227;15047;;4287;1585;1378;514;278;;;497;;162;27;;120;277;;8148;104;136;;;465;;100;;;;;;
276;Odenwald - Tauber;8;213424;155585;2300;153285;79516;30269;7956;6379;10984;;3049;2023;1199;615;1030;;;386;;213;24;;34;299;;7994;75;149;;;911;;141;;;;;;
277;Rhein-Neckar;8;197424;147782;2228;145554;63876;32456;9444;6959;13912;;3909;1936;1255;591;421;;;342;;264;18;;36;267;;8786;72;125;;;932;;146;;;;;;
278;Bruchsal - Schwetzingen;8;195953;145107;2468;142639;66656;30861;8133;6357;11696;;3556;1628;1416;1042;278;;;418;;164;22;;42;272;;8700;89;168;;;1364;;173;;;;;;
279;Pforzheim;8;219976;159491;2294;157197;70997;31788;11171;7248;14081;;3405;2125;1324;613;389;;;460;;598;15;;38;317;;11379;98;176;;;1014;;160;;;;;;
280;Calw;8;197679;145151;2442;142709;73263;25285;9194;5948;10946;;2642;1689;995;904;524;;;410;;796;21;;39;257;;9013;88;122;;;1017;;117;;;;;;
281;Freiburg;8;219472;168260;1726;166534;59007;36791;8059;13105;33044;;4973;784;1465;282;642;;;363;;329;21;;77;261;;6384;52;88;;;732;;120;;;;;;
282;Lörrach - Müllheim;8;229316;164341;2298;162043;70888;35328;9159;7856;20593;;3594;1412;1393;589;410;;;457;;590;24;;50;514;;8267;70;119;;;738;;151;;;;;;
283;Emmendingen - Lahr;8;215623;153869;3254;150615;69272;32131;7749;7016;18293;;3667;1176;1490;413;1087;;;371;;397;26;;29;363;;6823;33;101;;;710;;122;;;;;;
284;Offenburg;8;205119;145259;2386;142873;68973;27448;8140;6762;15311;;3028;1318;1244;334;350;;;311;;218;14;;32;332;;7743;24;79;;;852;;309;;;;;;
285;Rottweil - Tuttlingen;8;199241;143449;2519;140930;72998;24757;9025;5601;10385;;2582;2080;968;413;1250;;;418;;361;27;;29;353;;8214;54;99;;;1383;;171;;;;;;
286;Schwarzwald-Baar;8;166191;119181;1815;117366;57912;22414;6933;4860;10613;;2260;1737;926;208;375;;;339;;453;17;;57;229;;6697;37;76;;;1084;;118;;;;;;
287;Konstanz;8;202393;147557;1907;145650;63563;29504;10735;7295;18446;;3190;1116;1180;199;661;;;335;;230;20;;43;384;;8027;49;89;;;649;;101;;;;;;
288;Waldshut;8;177313;128808;2367;126441;62610;24130;7307;5482;13987;;2335;947;876;635;683;;;314;;228;21;;30;344;;5979;46;97;;;890;;95;;;;;;
289;Reutlingen;8;199091;150014;1883;148131;68394;28558;10441;7089;16195;;3267;1517;962;543;505;;;346;;314;23;;139;324;;8245;71;104;;;875;;110;;;;;;
290;Tübingen;8;193188;149768;1789;147979;61889;30417;8208;9820;21978;;3979;1297;1053;439;589;;;276;;340;30;;95;267;;6815;73;94;;;509;;113;;;;;;
291;Ulm;8;220702;167199;2153;165046;80370;33432;8662;7087;17023;;4075;1747;1158;553;724;;;422;;344;46;;114;342;;7839;95;147;;;1147;;141;;;;;;
292;Biberach;8;163772;121718;2131;119587;67567;17814;5851;4075;10887;;2503;1062;825;599;1166;;;316;;209;28;;20;273;;5072;66;105;;;1516;;134;;;;;;
293;Bodensee;8;171016;128696;1930;126766;61961;23125;8086;5629;14955;;2594;1091;950;303;902;;;254;;163;21;;51;362;;5689;37;75;;;863;;98;;;;;;
294;Ravensburg;8;185006;135877;1630;134247;67251;23266;7047;5770;16571;;2837;1164;951;418;1982;;;297;;231;23;;60;320;;5200;29;85;;;901;;103;;;;;;
295;Zollernalb - Sigmaringen;8;184370;132905;2714;130191;69176;22447;7393;5359;11008;;2746;1854;1012;668;543;;;328;;289;37;;198;282;;6161;45;132;;;1222;;161;;;;;;
908;Baden-Württemberg;99;7689895;5711469;84058;5627411;2576606;1160424;348317;272456;623294;;130767;56302;43277;21847;23704;;;14472;;12878;1042;;2941;11032;;295988;3529;4595;;;33479;;5069;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
213;Altötting;9;167160;111846;985;110861;;16797;4365;3241;6394;64998;1902;702;759;541;1349;;39;;1485;;116;350;15;;;4496;;79;;213;2884;;136;;;;;;
214;Erding - Ebersberg;9;192385;143626;1083;142543;;23670;7322;4178;12587;72850;2611;607;1029;1052;1976;;119;;2177;;31;171;25;;;7395;;92;;247;4443;;115;;;;;;
215;Freising;9;216717;155881;1439;154442;;25243;7248;5030;14390;78924;3157;1181;1154;500;1913;;44;;2010;;29;187;26;;;7424;;123;;264;5780;;148;;;;;;
216;Fürstenfeldbruck;9;251146;188417;1377;187040;;34660;9455;5711;16586;94458;3599;901;1401;540;2056;;62;;2086;;23;240;40;;;9807;;161;;275;5051;;141;;;;;;
217;Ingolstadt;9;254661;174710;1378;173332;;29880;7407;6163;10752;96804;3095;1472;1061;727;1986;;63;;1796;;23;194;27;;;6089;;104;;266;5114;;176;;;;;;
218;München-Nord;9;225557;155942;1185;154757;;38350;12778;7088;21174;57100;4223;654;1071;262;1544;;42;;900;;56;209;60;;;7106;;110;;196;2193;;128;;;;;;
219;München-Ost;9;236523;168795;1355;167440;;39187;13775;7131;21719;66349;3814;621;1124;297;1575;;47;;1235;;45;210;41;;;7807;;113;;206;2600;;146;;;;;;
220;München-Süd;9;215368;154146;975;153171;;36877;10727;7341;21440;58097;4003;632;1092;283;1418;;46;;1088;;49;224;42;;;7082;;82;;256;2493;;125;;;;;;
221;München-West/Mitte;9;239700;174322;1303;173019;;41108;12850;8312;27068;64221;4313;643;1219;272;1770;;51;;1002;;60;249;125;;;7249;;201;;291;2387;;142;;;;;;
222;München-Land;9;247787;192033;1161;190872;;37497;16300;5380;18960;89504;3546;626;1346;533;1661;;92;;1325;;27;189;32;;;9303;;112;;237;3986;;204;;;;;;
223;Rosenheim;9;231069;162958;1336;161622;;23966;8040;4688;13631;87569;2788;772;1111;1368;2419;;36;;3088;;96;241;24;;;7792;;93;;269;3653;;167;;;;;;
224;Starnberg;9;245379;182283;2179;180104;;27345;13346;4796;16417;93201;2804;739;1322;415;1985;;49;;2609;;35;397;22;;;10160;;123;;235;4887;;201;;;;;;
225;Traunstein;9;206868;141456;1544;139912;;20875;6139;4193;12334;80351;2116;771;912;813;1843;;43;;1808;;36;202;18;;;4597;;85;;187;2843;;164;;;;;;
226;Weilheim;9;252724;184167;1951;182216;;28342;9461;5629;16017;95885;2907;1062;1284;412;3011;;79;;3573;;32;271;45;;;9665;;137;;321;4441;;196;;;;;;
227;Deggendorf;9;155082;93941;843;93098;;15438;3557;3107;4065;52481;1280;1440;661;435;935;;36;;1559;;13;87;11;;;3787;;66;;171;4007;;66;;;;;;
